filename,filepath,subject,session,task,sequence_type,target,clustRegion,clustMask,X,Y,Z
103.01.rest.me.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.01.rest.me.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,103,1,rest,me,seed,ldlpfc,orig,,,
099.03.rest.se.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.03.rest.se.errts.targ.network.fisher.clust.ldlpfc.orig.1d,99,3,rest,se,network,ldlpfc,orig,,,
099.01.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.01.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,99,1,rest,se,network,ldlpfc,erode_1,,,
099.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,99,4,rest,se,seed,ldlpfc,erode_1,,,
099.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,99,2,rest,se,network,ldlpfc,dilate_5,,,
099.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.orig.1d,99,2,rest,se,network,ldlpfc,orig,,,
099.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,99,3,rest,se,seed,ldlpfc,dilate_5,,,
099.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,99,3,rest,se,seed,ldlpfc,erode_1,,,
099.04.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.04.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,99,4,rest,se,network,ldlpfc,erode_1,,,
099.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,99,4,rest,se,seed,ldlpfc,orig,,,
099.01.rest.se.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/099/099.01.rest.se.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,99,1,rest,se,network,ldlpfc,dilate_5,,,
