subject,target,clustMask,sequence_type,session_i,session_j,euclidean_distance
7,seed,orig,me,1,2,8.72
7,seed,orig,me,1,3,4.47
7,seed,orig,me,2,3,9.38
7,seed,orig,se_e2,0,1,15.36
7,seed,orig,se_e2,0,2,11.31
7,seed,orig,se_e2,0,3,12.17
7,seed,orig,se_e2,1,2,10.39
7,seed,orig,se_e2,1,3,10.95
7,seed,orig,se_e2,2,3,15.62
7,seed,erode_1,se,0,1,8.25
7,seed,erode_1,se,0,2,12.81
7,seed,erode_1,se,0,3,8.94
7,seed,erode_1,se,1,2,8.94
7,seed,erode_1,se,1,3,7.21
7,seed,erode_1,se,2,3,9.17
7,seed,erode_1,me,0,1,6.32
7,seed,erode_1,me,0,2,12.81
7,seed,erode_1,me,0,3,7.21
7,seed,erode_1,me,1,2,15.62
7,seed,erode_1,me,1,3,8.25
7,seed,erode_1,me,2,3,12.96
7,seed,erode_1,se_e2,0,1,10.39
7,seed,erode_1,se_e2,0,2,2.83
7,seed,erode_1,se_e2,0,3,10.95
7,seed,erode_1,se_e2,1,2,10.77
7,seed,erode_1,se_e2,1,3,4.47
7,seed,erode_1,se_e2,2,3,10.2
7,seed,dilate_5,se,0,1,24.17
7,seed,dilate_5,se,0,2,34.06
7,seed,dilate_5,se,0,3,0.0
7,seed,dilate_5,se,1,2,11.66
7,seed,dilate_5,se,1,3,24.17
7,seed,dilate_5,se,2,3,34.06
7,seed,dilate_5,me,0,1,42.24
7,seed,dilate_5,me,0,2,36.44
7,seed,dilate_5,me,0,3,42.24
7,seed,dilate_5,me,1,2,24.17
7,seed,dilate_5,me,1,3,0.0
7,seed,dilate_5,me,2,3,24.17
7,seed,dilate_5,se_e2,0,1,27.28
7,seed,dilate_5,se_e2,0,2,36.0
7,seed,dilate_5,se_e2,0,3,0.0
7,seed,dilate_5,se_e2,1,2,47.75
7,seed,dilate_5,se_e2,1,3,27.28
7,seed,dilate_5,se_e2,2,3,36.0
7,network,orig,se,0,1,19.39
7,network,orig,se,0,2,0.0
7,network,orig,se,0,3,19.39
7,network,orig,se,1,2,19.39
7,network,orig,se,1,3,0.0
7,network,orig,se,2,3,19.39
7,network,orig,me,0,1,12.96
7,network,orig,me,0,2,17.2
7,network,orig,me,0,3,14.14
7,network,orig,me,1,2,17.66
7,network,orig,me,1,3,12.96
7,network,orig,me,2,3,14.7
7,network,orig,se_e2,0,1,13.42
7,network,orig,se_e2,0,2,15.75
7,network,orig,se_e2,0,3,14.14
7,network,orig,se_e2,1,2,3.46
7,network,orig,se_e2,1,3,11.83
7,network,orig,se_e2,2,3,14.42
7,network,erode_1,se,0,1,0.0
7,network,erode_1,se,0,2,2.0
7,network,erode_1,se,0,3,11.49
7,network,erode_1,se,1,2,2.0
7,network,erode_1,se,1,3,11.49
7,network,erode_1,se,2,3,10.2
7,network,erode_1,me,0,1,0.0
7,network,erode_1,me,0,2,8.25
7,network,erode_1,me,0,3,11.49
7,network,erode_1,me,1,2,8.25
7,network,erode_1,me,1,3,11.49
7,network,erode_1,me,2,3,17.2
7,network,erode_1,se_e2,0,1,7.21
7,network,erode_1,se_e2,0,2,4.9
7,network,erode_1,se_e2,0,3,4.9
7,network,erode_1,se_e2,1,2,11.49
7,network,erode_1,se_e2,1,3,11.49
7,network,erode_1,se_e2,2,3,0.0
7,network,dilate_5,se,0,1,5.66
7,network,dilate_5,se,0,2,24.74
7,network,dilate_5,se,0,3,6.0
7,network,dilate_5,se,1,2,21.26
7,network,dilate_5,se,1,3,2.0
7,network,dilate_5,se,2,3,20.78
7,network,dilate_5,me,0,1,42.85
7,network,dilate_5,me,0,2,42.85
7,network,dilate_5,me,0,3,4.47
7,network,dilate_5,me,1,2,0.0
7,network,dilate_5,me,1,3,41.67
7,network,dilate_5,me,2,3,41.67
7,network,dilate_5,se_e2,0,1,42.85
7,network,dilate_5,se_e2,0,2,42.85
7,network,dilate_5,se_e2,0,3,39.29
7,network,dilate_5,se_e2,1,2,0.0
7,network,dilate_5,se_e2,1,3,21.26
7,network,dilate_5,se_e2,2,3,21.26
8,seed,orig,se,0,1,7.21
8,seed,orig,se,0,2,13.27
8,seed,orig,se,0,3,18.33
8,seed,orig,se,1,2,9.17
8,seed,orig,se,1,3,16.12
8,seed,orig,se,2,3,14.97
8,seed,orig,me,0,1,13.42
8,seed,orig,me,0,2,12.96
8,seed,orig,me,0,3,10.39
8,seed,orig,me,1,2,3.46
8,seed,orig,me,1,3,10.95
8,seed,orig,me,2,3,8.25
8,seed,orig,se_e2,0,1,11.83
8,seed,orig,se_e2,0,2,4.47
8,seed,orig,se_e2,0,3,16.12
8,seed,orig,se_e2,1,2,15.75
8,seed,orig,se_e2,1,3,13.56
8,seed,orig,se_e2,2,3,17.66
8,seed,erode_1,se,0,1,13.42
8,seed,erode_1,se,0,2,16.12
8,seed,erode_1,se,0,3,4.47
8,seed,erode_1,se,1,2,10.2
8,seed,erode_1,se,1,3,11.31
8,seed,erode_1,se,2,3,12.96
8,seed,erode_1,me,0,1,16.12
8,seed,erode_1,me,0,2,13.42
8,seed,erode_1,me,0,3,11.83
8,seed,erode_1,me,1,2,10.2
8,seed,erode_1,me,1,3,4.9
8,seed,erode_1,me,2,3,10.2
8,seed,erode_1,se_e2,0,1,10.2
8,seed,erode_1,se_e2,0,2,18.44
